,city_name,lat,lon,distance_to_center_km,area_m2,rooms,is_studio,floor,floors_total,floor_ratio,area_per_room,is_top_floor,is_first_floor,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
346,Альметьевск,54.90293503,52.27880478,1.3938690384664576,44.0,2.0,0,1,5,0.2,22.0,0,1,5000000,4477021.151470789,-522978.84852921125,522978.84852921125,10.459576970584225,-10.459576970584225
545,Альметьевск,54.89002,52.23803,4.115160423323737,76.6,3.0,0,8,9,0.8888888888888888,25.53333333333333,0,0,11340000,11279437.921418598,-60562.07858140208,60562.07858140208,0.5340571303474609,-0.5340571303474609
800,Альметьевск,54.90976334,52.31964111,1.6599003291453571,67.2,3.0,0,5,9,0.5555555555555556,22.400000000000002,0,0,7300000,7294112.469201655,-5887.530798344873,5887.530798344873,0.08065110682664209,-0.08065110682664209
809,Альметьевск,54.89844131,52.29588318,0.3151613145819969,45.0,2.0,0,2,4,0.5,22.5,0,0,4350000,4855466.768556478,505466.76855647843,505466.76855647843,11.619925713942033,11.619925713942033
778,Альметьевск,54.896962,52.279012,1.3838391953007083,31.2,1.0,0,1,5,0.2,31.2,0,1,3000000,3368141.816488253,368141.81648825295,368141.81648825295,12.271393882941766,12.271393882941766
398,Альметьевск,54.90515518,52.32188797,1.5122321454399361,53.9,2.0,0,1,5,0.2,26.95,0,1,4200000,5537873.906747692,1337873.9067476923,1337873.9067476923,31.854140636849813,31.854140636849813
76,Альметьевск,54.911926,52.260534,2.8502717757205938,35.3,1.0,0,1,9,0.1111111111111111,35.3,0,1,5050000,4485848.567364928,-564151.4326350717,564151.4326350717,11.171315497724192,-11.171315497724192
196,Альметьевск,54.89041,52.28283,1.530553978685245,76.2,2.0,0,2,9,0.2222222222222222,38.1,0,0,10736580,10666857.83213848,-69722.16786151938,69722.16786151938,0.6493889847746618,-0.6493889847746618
631,Альметьевск,54.896967,52.280674,1.2809018003891957,29.4,1.0,0,5,5,1.0,29.4,1,0,4250000,3106148.8764709188,-1143851.1235290812,1143851.1235290812,26.914144083037208,-26.914144083037208
751,Альметьевск,54.907843,52.299817,0.872180281620323,40.4,2.0,0,3,5,0.6,20.2,0,0,5600000,4128051.625554813,-1471948.374445187,1471948.374445187,26.28479240080691,-26.28479240080691
570,Альметьевск,54.89002,52.23803,4.115160423323737,70.8,2.0,0,2,16,0.125,35.4,0,0,9630000,9809595.92418302,179595.92418302037,179595.92418302037,1.8649628679441366,1.8649628679441366
405,Альметьевск,54.90233248505469,52.36363432541292,4.076770824729946,42.7,2.0,0,3,4,0.75,21.35,0,0,3900000,3741709.5143217053,-158290.48567829467,158290.48567829467,4.058730402007556,-4.058730402007556
512,Альметьевск,54.909023,52.277072,1.776288275648271,72.0,3.0,0,3,5,0.6,24.0,0,0,8000000,7581596.737834452,-418403.2621655483,418403.2621655483,5.2300407770693536,-5.2300407770693536
338,Альметьевск,54.89255,52.2724,1.9495949313592014,68.4,3.0,0,6,9,0.6666666666666666,22.8,0,0,6700000,7546854.463932972,846854.4639329724,846854.4639329724,12.63961886467123,12.63961886467123
895,Альметьевск,54.904577,52.262582,2.445820924414535,35.5,1.0,0,2,7,0.2857142857142857,35.5,0,0,4700000,4386497.349718503,-313502.6502814973,313502.6502814973,6.670269154925474,-6.670269154925474
227,Альметьевск,54.89041,52.28283,1.530553978685245,69.8,2.0,0,12,16,0.75,34.9,0,0,10114020,10228347.54913424,114327.54913423955,114327.54913423955,1.1303868208115029,1.1303868208115029
669,Альметьевск,54.9129982,52.25916672,2.9837871992283374,40.1,1.0,0,3,14,0.21428571428571427,40.1,0,0,5500000,4920929.599215358,-579070.4007846424,579070.4007846424,10.528552741538952,-10.528552741538952
204,Альметьевск,54.89041,52.28283,1.530553978685245,74.3,2.0,0,3,9,0.3333333333333333,37.15,0,0,10497050,10595036.079482062,97986.07948206179,97986.07948206179,0.9334630156287889,0.9334630156287889
745,Альметьевск,54.90971,52.28456,1.462901925358752,104.4,4.0,0,2,9,0.2222222222222222,26.1,0,0,11481800,11645864.1199356,164064.1199356001,164064.1199356001,1.4289059201135716,1.4289059201135716
192,Альметьевск,54.89041,52.28283,1.530553978685245,47.8,1.0,0,2,9,0.2222222222222222,47.8,0,0,7404220,6999044.639475418,-405175.36052458175,405175.36052458175,5.472222064236094,-5.472222064236094
874,Альметьевск,54.895082,52.295658,0.6132968286900387,43.7,2.0,0,4,4,1.0,21.85,1,0,4899000,4471223.107044315,-427776.89295568503,427776.89295568503,8.731922697605327,-8.731922697605327
794,Альметьевск,54.89694694690115,52.28156812578571,1.2264566034145474,43.5,2.0,0,1,5,0.2,21.75,0,1,4500000,4272923.750236995,-227076.2497630054,227076.2497630054,5.046138883622342,-5.046138883622342
774,Альметьевск,54.90122223,52.25189972,3.0783744274986087,78.5,3.0,0,9,10,0.9,26.166666666666668,0,0,8700000,8967230.493768103,267230.4937681034,267230.4937681034,3.0716148708977404,3.0716148708977404
481,Альметьевск,54.89919662,52.25826263,2.6701114068631613,89.9,3.0,0,3,10,0.3,29.96666666666667,0,0,12000000,10713130.68856202,-1286869.3114379793,1286869.3114379793,10.723910928649829,-10.723910928649829
834,Альметьевск,54.893198,52.37462,4.831006078890624,48.3,2.0,0,2,3,0.6666666666666666,24.15,0,0,4500000,4140179.2054028343,-359820.79459716566,359820.79459716566,7.996017657714792,-7.996017657714792
465,Альметьевск,54.90906525,52.27809525,1.725442132865076,21.5,1.0,0,1,5,0.2,21.5,0,1,2300000,2464530.210422724,164530.21042272402,164530.21042272402,7.153487409683653,7.153487409683653
807,Альметьевск,54.904830798655176,52.28263576499572,1.2332886989753469,61.8,3.0,0,3,5,0.6,20.599999999999998,0,0,5750000,5679640.562781839,-70359.4372181613,70359.4372181613,1.2236423864028052,-1.2236423864028052
885,Альметьевск,54.910286,52.326632,2.0510759272561505,66.0,3.0,0,6,9,0.6666666666666666,22.0,0,0,6200000,6974879.7875399,774879.7875399003,774879.7875399003,12.49806108935323,12.49806108935323
96,Альметьевск,54.91131973,52.30208206,1.2657146194861364,61.9,3.0,0,2,5,0.4,20.633333333333333,0,0,5200000,5913110.227025377,713110.2270253766,713110.2270253766,13.713658212026475,13.713658212026475
891,Альметьевск,54.907346,52.332767,2.2484748513887753,44.7,2.0,0,1,5,0.2,22.35,0,1,4100000,4006332.695628885,-93667.30437111482,93667.30437111482,2.2845683992954835,-2.2845683992954835
326,Альметьевск,54.91083867839123,52.32893933826116,2.207999331498061,66.0,3.0,0,1,9,0.1111111111111111,22.0,0,1,6050000,6410877.259249323,360877.25924932305,360877.25924932305,5.964913376021869,5.964913376021869
294,Альметьевск,54.905027,52.33177,2.106684208445191,43.6,2.0,0,5,5,1.0,21.8,1,0,4400000,4056863.509736041,-343136.4902639589,343136.4902639589,7.798556596908157,-7.798556596908157
210,Альметьевск,54.89041,52.28283,1.530553978685245,75.3,3.0,0,1,9,0.1111111111111111,25.099999999999998,0,1,10685070,9768352.61905645,-916717.3809435498,916717.3809435498,8.579423260152248,-8.579423260152248
440,Альметьевск,54.91269684,52.2589798,2.9782246091036306,42.0,1.0,0,14,14,1.0,42.0,1,0,4700000,5642756.71558675,942756.7155867498,942756.7155867498,20.058653523122334,20.058653523122334
783,Альметьевск,54.89919662,52.25826263,2.6701114068631613,94.1,3.0,0,9,10,0.9,31.366666666666664,0,0,11000500,10030153.489436977,-970346.5105630234,970346.5105630234,8.820930962801905,-8.820930962801905
78,Альметьевск,54.904824922696726,52.316290904120834,1.171599435019721,30.2,1.0,0,4,5,0.8,30.2,0,0,3000000,3420792.656059978,420792.65605997806,420792.65605997806,14.026421868665937,14.026421868665937
265,Альметьевск,54.90123749,52.25586319,2.825314095190445,86.3,2.0,0,6,10,0.6,43.15,0,0,10950000,9325867.332767215,-1624132.6672327854,1624132.6672327854,14.83226180121265,-14.83226180121265
829,Альметьевск,54.909007,52.315978,1.4305568054642714,57.4,3.0,0,2,5,0.4,19.133333333333333,0,0,6990000,5767518.758111481,-1222481.2418885194,1222481.2418885194,17.489002029878677,-17.489002029878677
428,Альметьевск,54.90878296,52.32565308,1.9087825188230003,35.0,1.0,0,5,9,0.5555555555555556,35.0,0,0,3400000,4082632.24112365,682632.2411236502,682632.2411236502,20.077418856577946,20.077418856577946
141,Альметьевск,54.90316772,52.26301193,2.3909259933983766,67.0,3.0,0,1,9,0.1111111111111111,22.333333333333332,0,1,6850000,6844470.555118087,-5529.444881913252,5529.444881913252,0.08072182309362412,-0.08072182309362412
