iter	MAE	RMSE
767	694501.0945	1056099.883
768	693990.9377	1054972.849
769	693272.7556	1053305.984
770	692947.3414	1052430.804
771	692664.4194	1051594.319
772	692359.7121	1051020.321
773	690930.8322	1048171.6
774	690278.21	1047209.992
775	690002.7869	1046664.298
776	689557.436	1045440.926
777	688765.6705	1044096.695
778	688440.0812	1043253.145
779	687921.3984	1042202.938
780	687352.9988	1041388.562
781	685482.1829	1037498.171
782	685035.5087	1036663.697
783	684905.2978	1036288.562
784	684535.4763	1035598.328
785	683985.3037	1034588.865
786	682659.2545	1031643.507
787	681564.441	1029835.525
788	681196.4306	1028845.322
789	680631.5715	1027932.958
790	679853.0748	1027064.771
791	679738.1641	1026645.468
792	678748.4441	1024619.68
793	677787.6615	1023871.219
794	677043.0162	1022806.807
795	676742.4702	1021973.251
796	676170.1784	1021011.064
797	675787.6428	1020077.326
798	674716.712	1018379.369
799	674676.3084	1018140.564
800	673599.4462	1016256.342
801	673407.5692	1015855.796
802	672622.2196	1014520.129
803	672161.8855	1013592.284
804	671527.5136	1012587.455
805	671094.4268	1011805.163
806	670332.1203	1010767.821
807	670064.7572	1010238.901
808	669080.0628	1008921.591
809	668101.049	1007152.426
810	667357.2656	1006247.814
811	667182.8787	1005834.711
812	666175.7162	1004576.962
813	665281.5841	1002834.363
814	663960.9024	1001198.257
815	663501.7827	1000624.317
816	663085.3119	999976.7831
817	662634.1548	999322.1648
818	662402.0765	998915.9694
819	661924.3649	997878.8655
820	661795.1713	997763.7831
821	660987.4794	996378.9721
822	660308.9271	995635.593
823	659635.5296	994382.225
824	659290.3764	993406.5187
825	658706.839	991968.0371
826	658100.2856	991297.6609
827	657876.1451	990877.3284
828	657135.9928	989194.7623
829	656222.3089	988120.0948
830	655733.8296	987296.7775
831	654429.4906	985971.8615
832	653907.3959	984982.6394
833	653881.5065	984931.922
834	653200.7443	983673.1003
835	652759.1873	983058.3969
836	652445.9137	982438.6711
837	652286.4518	982152.0782
838	651747.0181	981365.7356
839	651195.2564	980506.6978
840	650738.5035	979798.6812
841	650327.865	979043.7194
842	650047.4596	978824.5191
843	648960.0078	977159.8349
844	648238.7785	976326.5366
845	647558.1303	975106.4654
846	647327.7745	974581.5279
847	646781.6766	973865.0733
848	646564.2501	973444.359
849	645876.8245	971808.7428
850	645668.6952	971439.1245
851	645378.6048	971020.1538
852	644823.7888	969582.0234
853	644036.0917	968932.0219
854	643574.5975	968076.774
855	642843.5573	967182.7906
856	642476.403	966352.1889
857	642258.6063	965814.2154
858	641979.8473	965138.6178
859	641457.8237	964462.3083
860	641322.8141	964143.2448
861	640875.2337	963286.3273
862	640269.6443	962203.2753
863	639794.786	961657.1022
864	639512.1347	961169.0457
865	638691.8675	960126.7173
866	638039.1069	958986.953
867	637574.67	958143.8654
868	637187.9088	957444.798
869	637154.0288	957404.0762
870	636424.2857	955799.0359
871	636143.4085	954960.6717
872	635246.2382	953468.1672
873	635194.0791	953364.8106
874	634491.621	952186.0153
875	634013.772	951425.5724
876	633788.4435	950979.9082
877	633517.7221	950518.9386
878	633297.9545	950114.6712
879	632562.7764	948653.2898
880	632342.7325	948011.5456
881	631576.9487	946347.2738
